OrderDate,Region,Manager,SalesMan,Item,Units,Unit_price,Sale_amt
01-06-18,East,Martha,Alexander,Television,95,1198,113810
01-23-18,Central,Hermann,Shelli,Home Theater,50,500,25000
02-09-18,Central,Hermann,Luis,Television,36,1198,43128
02-26-18,Central,Timothy,David,Cell Phone,27,225,6075
03-15-18,West,Timothy,Stephen,Television,56,1198,67088
04-01-18,East,Martha,Alexander,Home Theater,60,500,30000
04-18-18,Central,Martha,Steven,Television,75,1198,89850
05-05-18,Central,Hermann,Luis,Television,90,1198,107820
05-22-18,West,Douglas,Michael,Television,32,1198,38336
06-08-18,East,Martha,Alexander,Home Theater,60,500,30000
06-25-18,Central,Hermann,Sigal,Television,90,1198,107820
07-12-18,East,Martha,Diana,Home Theater,29,500,14500
07-29-18,East,Douglas,Karen,Home Theater,81,500,40500
08-15-18,East,Martha,Alexander,Television,35,1198,41930
09-01-18,Central,Douglas,John,Desk,2,125,250
09-18-18,East,Martha,Alexander,Video Games,16,58.5,936
10-05-18,Central,Hermann,Sigal,Home Theater,28,500,14000
10-22-18,East,Martha,Alexander,Cell Phone,64,225,14400
